検索語句レポート
2026年2月12日 - 2026年2月16日
検索語句,マッチタイプ,追加済み / 除外済み,クリック数,表示回数,クリック率,通貨コード,平均クリック単価,費用,コンバージョン率,コンバージョン,コンバージョン単価
生成 ai,P-MAX,なし,0,7,0.00%,JPY,0,0,0.00%,0.00,0
拡張 テキスト 広告,P-MAX,なし,0,1,0.00%,JPY,0,0,0.00%,0.00,0
ai 活用 ビジネス,P-MAX,なし,0,1,0.00%,JPY,0,0,0.00%,0.00,0
口コミ,P-MAX,なし,0,1,0.00%,JPY,0,0,0.00%,0.00,0
グーグル 口コミ 代行,P-MAX,なし,0,2,0.00%,JPY,0,0,0.00%,0.00,0
集客 施策,P-MAX,なし,0,1,0.00%,JPY,0,0,0.00%,0.00,0
優秀 な ai,P-MAX,なし,0,1,0.00%,JPY,0,0,0.00%,0.00,0
中小 企業 マーケティング,P-MAX,なし,1,1,100.00%,JPY,106,106,0.00%,0.00,0
お 店 を 流行ら せる に は,P-MAX,なし,11,16,68.75%,JPY,82,899,0.00%,0.00,0
google マップ 口コミ の 書き方,P-MAX,なし,0,1,0.00%,JPY,0,0,0.00%,0.00,0
口コミ 投稿,P-MAX,なし,0,1,0.00%,JPY,0,0,0.00%,0.00,0
集客 方法 店舗,P-MAX,なし,2,2,100.00%,JPY,87,174,0.00%,0.00,0
お 店 の 宣伝 方法,P-MAX,なし,1,1,100.00%,JPY,51,51,0.00%,0.00,0
ai おすすめ,P-MAX,なし,0,1,0.00%,JPY,0,0,0.00%,0.00,0
生成 ai シェア ランキング,P-MAX,なし,0,1,0.00%,JPY,0,0,0.00%,0.00,0
ai 活用,P-MAX,なし,0,1,0.00%,JPY,0,0,0.00%,0.00,0
aibot,P-MAX,なし,0,1,0.00%,JPY,0,0,0.00%,0.00,0
google 口コミ 代行,P-MAX,なし,0,4,0.00%,JPY,0,0,0.00%,0.00,0
google 口コミ お願い ポップ,P-MAX,なし,0,1,0.00%,JPY,0,0,0.00%,0.00,0
口コミ サービス,P-MAX,なし,0,1,0.00%,JPY,0,0,0.00%,0.00,0
美容 師 失 客,P-MAX,なし,0,1,0.00%,JPY,0,0,0.00%,0.00,0
デジタル マーケティング,P-MAX,なし,0,1,0.00%,JPY,0,0,0.00%,0.00,0
集客 キャンペーン,P-MAX,なし,0,1,0.00%,JPY,0,0,0.00%,0.00,0
スイミング スクール,P-MAX,なし,1,1,100.00%,JPY,202,202,0.00%,0.00,0
ピステ,P-MAX,なし,1,1,100.00%,JPY,72,72,0.00%,0.00,0
ai ツール 比較,P-MAX,なし,0,1,0.00%,JPY,0,0,0.00%,0.00,0
google 口コミ 依頼,P-MAX,なし,0,1,0.00%,JPY,0,0,0.00%,0.00,0
ジム,P-MAX,なし,0,1,0.00%,JPY,0,0,0.00%,0.00,0
飲食 店 ブランディング,P-MAX,なし,1,1,100.00%,JPY,93,93,0.00%,0.00,0
google 口コミ 返信 例,P-MAX,なし,0,1,0.00%,JPY,0,0,0.00%,0.00,0
口コミ ai,P-MAX,なし,0,1,0.00%,JPY,0,0,0.00%,0.00,0
合計: 検索語句,,,18,57,31.58%,JPY,89,1597,0.00%,0.00,0
合計: その他の検索語句,,,0,13,0.00%,JPY,0,0,0.00%,0.00,0
合計: キャンペーン,,,73,"13,787",0.53%,JPY,34,2498,0.00%,0.00,0
